seed,igd_placeholder,igd_sbx
1,0.1299862810376769,0.004751601058006674
2,0.14468913962832017,0.030504305271279487
3,0.13873096755158337,0.019948328373434496
4,0.12497451999777928,0.011559903475117282
5,0.1358554659412626,0.004506686470062922
6,0.1349619629035741,0.004986166316770362
7,0.1341539127237278,0.0052236320737904934
8,0.1313647615979885,0.004175382602429195
9,0.12457140540621528,0.004230945375927419
10,0.13138646252732816,0.007098444790651438
11,0.12059330348582085,0.004315878093635487
12,0.13098655122439465,0.005726824340892983
13,0.13159028677648948,0.004308122353924209
14,0.12163676405812701,0.004491569813865223
15,0.12837498715746548,0.005910971326355196
16,0.13981953657054447,0.00483479512381401
17,0.13454499634316872,0.007193006508420397
18,0.13118766029163628,0.00424680465483234
19,0.1303208021296665,0.004341189317375614
20,0.13144944804054234,0.007868237922712032
